Id,Institution,"Student Residence","Street Number and Name",City,Province,"Postal Code"
442,"York University",Calumet,"4700 Keele Street",Toronto,ON,"M3J 1P3"
443,"York University",Founders,"4700 Keele Street",Toronto,ON,"M3J 1P3"
444,"York University",Hilliard,"2275 Bayview Avenue",Toronto,ON,"M4N 3M6"
445,"York University","Norman Bethune","4700 Keele Street",Toronto,ON,"M3J 1P3"
446,"York University","Pond Road","4700 Keele Street",Toronto,ON,"M3J 1P3"
447,"York University",Stong,"4700 Keele Street",Toronto,ON,"M3J 1P3"
448,"York University","Tatham Hall","4700 Keele Street",Toronto,ON,"M3J 1P3"
449,"York University",Vanier,"4700 Keele Street",Toronto,ON,"M3J 1P3"
450,"York University",Winters,"4700 Keele Street",Toronto,ON,"M3J 1P3"
451,"York University",Wood,"2275 Bayview Avenue",Toronto,ON,"M4N 3M6"
452,"York University","York Apartments","90 Atkinson Road",Toronto,ON,"M3J 2S5"
453,"York University","York Apartments","2, 4 Passy Crescent",Toronto,ON,"M3J 3K8"
454,"York University","York Apartments","6, 8 Passy Crescent",Toronto,ON,"M3J 3K9"
455,"York University","York Apartments","10 Passy Crescent",Toronto,ON,"M3J 3L1"
456,"York University","York Apartments","12, 14 Passy Crescent",Toronto,ON,"M3J 3L2"
457,"York University","York Apartments","16, 18 Passy Crescent",Toronto,ON,"M3J 3L3"
458,"York University","York Apartments","320 Assiniboine Road",Toronto,ON,"M3J 1L1"
459,"York University","York Apartments","340 Assiniboine Road",Toronto,ON,"M3J 1L2"
460,"York University","York Apartments","360 Assiniboine Road",Toronto,ON,"M3J 1L3"
461,"York University","York Apartments","380 Assiniboine Road",Toronto,ON,"M3J 1L4"
